d_adv_loss, f_slf_loss, f_cyc_loss, f_adv_loss
3.1856, 6.216, 23.932, 1.3287
2.7147, 5.6879, 20.3192, 1.5228
2.4734, 5.4232, 18.3494, 1.7407
2.2901, 5.2835, 17.1833, 1.9862
2.1565, 5.2211, 16.4579, 2.1781
1.4551, 4.8576, 12.9691, 3.4204
1.3762, 4.8644, 13.0154, 3.4663
1.2967, 4.8936, 13.0416, 3.4186
1.1893, 4.9442, 13.0591, 3.2825
1.0923, 5.0015, 13.0427, 3.2471
0.7005, 5.493, 13.0344, 3.4557
0.7306, 5.4673, 12.8106, 3.1702
0.6935, 5.4752, 12.6996, 3.2409
0.6812, 5.485, 12.6514, 3.2692
0.6632, 5.4692, 12.5739, 3.3279
0.6167, 5.3568, 12.2054, 3.7659
0.5566, 5.2802, 12.0804, 3.835
0.5295, 5.2743, 12.1315, 3.8481
0.5093, 5.2341, 12.1048, 4.0444
0.4925, 5.2215, 12.1208, 4.1266
0.46, 5.173, 12.1617, 4.4062
0.4434, 5.2521, 12.2709, 4.3774
0.4356, 5.2401, 12.2602, 4.441
0.4334, 5.2207, 12.2191, 4.5116
0.4169, 5.2153, 12.2249, 4.6533
0.4049, 5.1284, 12.0792, 5.2235
0.403, 5.1114, 12.0197, 5.1087
0.3895, 5.0936, 11.9649, 5.1437
0.3912, 5.1026, 11.9849, 5.2395
0.3923, 5.0997, 11.9815, 5.2055
0.3531, 4.9473, 11.7481, 5.1436
0.3893, 4.9689, 11.7137, 4.8806
0.3799, 4.9563, 11.6612, 4.94
0.379, 4.955, 11.6397, 4.9412
0.3862, 4.9558, 11.6347, 4.8661
0.444, 5.0107, 11.6846, 4.233
0.4481, 4.9608, 11.5858, 4.313
0.4498, 4.9326, 11.549, 4.3223
0.4409, 4.9111, 11.5089, 4.3736
0.4471, 4.899, 11.5023, 4.3521
0.4603, 4.9032, 11.519, 4.3098
0.4311, 4.8584, 11.4515, 4.4095
0.4271, 4.837, 11.4115, 4.406
0.4277, 4.8354, 11.4202, 4.4233
0.4354, 4.8056, 11.356, 4.4085
0.4387, 4.7881, 11.388, 4.2354
0.4517, 4.7326, 11.267, 4.441
0.4468, 4.724, 11.2594, 4.3779
